ID,US ID,Process Flow,RFP/NEW,Priority,Epic ,New Epic,Feature,Story,Efforts ,Efforts in person-days - Final,Sprint #,JIRA ID,,,,,,,,,,Don't Delete,Don't Delete,Efforts ,New Epics
Req_092,Req_092_001,T1 Inbound,RFP,Priority 3,Case management,Data integration,Case management,Customer's Loyalty score should be visible to Agent,21,,,PR09918-184,PR09918-184,,,,,,,,,Req_092,Req_092,21,Data integration
Req_030,Req_030_001,T1 Inbound,RFP,Priority 1,Automatic Case Routing and Tracking,Case Assignment,Automatic Case Routing and Tracking,Auto route the case to the previous agent,5,,Sprint 1,PR09918-60,PR09918-60,,,,,,,,,Req_030,Req_030,5,Case Assignment
"Req_1010
PP_059
PP_015
Req_113(T2 - Critical Backorder)",Req_113_001,"T1 Inbound
T2 - Critical Backorder",RFP,Priority 1,Case Management,Case Management,Increased Agent Productivity,Creation of Standard Email Templates for Select High-Value Case Types,3,3,,PR09918-176,#N/A,,,,,,,,,Req_113,Req_113,3,Case Management
Req_007,Req_007_001,T1 Inbound,RFP,Priority 1,Case Management,Quick case,Case management,Create a quick case in CRRS without customer/vechicle information,3,3,Sprint 1,PR09918-174,PR09918-174,,,,,,,,,Req_007,Req_007,3,Quick case
Req_013,Req_013_001,T1 Inbound,RFP,Priority 1,Case Management,Case Management,Case management,Create a case in CRRS using different case types,5,5,,PR09918-65,PR09918-65,,,,,,,,,Req_013,Req_013,5,Case Management
Req_021,Req_021_001,T1 Inbound,RFP,Priority 1,Case Management,Case Management,Case management,Edit/modify a case in CRRS,3,3,,PR09918-64,PR09918-64,,,,,,,,,Req_021,Req_021,3,Case Management
Req_044,Req_044_001,T1 Inbound,RFP,Priority 1,Case Management,Case Management,Increased Agent Productivity,Case Management - Issue coding,2,2,,PR09918-61,PR09918-61,,,,,,,,,Req_044,Req_044,2,Case Management
"Req_022
PP_012",Req_022_001,T1 Inbound,RFP,Priority 2,Case Management - Automation,Data integration,Integration customer data ,Integrated warranty and customer information,13,13,,PR09918-90,#N/A,,,,,,,,,Req_022,Req_022,13,Data integration
"Req_023
PP_012",Req_023_001,"T1 Inbound


T1 Power Sports/Equipment",RFP,Priority 2,Case Management - Automation,Data integration,Integration Campaign data,Integrated warranty and campaign  information,21,21,,PR09918-91,#N/A,,,,,,,,,Req_023,Req_023,21,Data integration
Req_076,Req_076_001,T1 Inbound,RFP,Priority 2,Case Management - Automation,Einstein AI,Case Management - Automation,Suggest the next best action on the case,42,42,,PR09918-124,PR09918-124,,,,,,,,,Req_076,Req_076,42,Einstein AI
Req_081,Req_081_001,T1 Inbound,RFP,Priority 1,Case Management - Automation,Case Management,Customer Self-service,Auto populating vehicle information,0,,Sprint 1,PR09918-58,PR09918-58,,,,,,,,,Req_081,Req_081,0,Case Management
Req_089,Req_089_001,T1 Inbound,RFP,Priority 1,Case Management - Automation,Case Management - Automation,Case Management - Automation,Validation for case completion,3,3,Sprint 1,PR09918-100,PR09918-100,,,,,,,,,Req_089,Req_089,3,Case Management - Automation
Req_095,Req_095_001,T1 Inbound,RFP,Priority 1,Case Management - Automation,Case Management - Automation,Case Management - Automation,Agent assist features,0,,,PR09918-101,PR09918-101,,,,,,,,,Req_095,Req_095,0,Case Management - Automation
Req_096,Req_096_001,T1 Inbound,RFP,Priority 1,Case Management - Automation,Customer Self-service ,Customer Self-service ,Automated resolutions for customers,0,,,PR09918-112,PR09918-112,,,,,,,,,Req_096,Req_096,0,Customer Self-service 
"Req_1008

PP_009
PP_007",Req_1008_001,T1 Inbound,RFP,Priority 1,Case Management - Call Wrap-up,Case Management,Increased Agent Productivity,Capture the notes during the case closure process for any case type,5,5,Sprint 1,PR09918-84,#N/A,,,,,,,,,Req_1008,Req_1008,5,Case Management
"Req_040
PP_016
PP_044(Powersports.
Req_047(DCR Live chat)",Req_040_001,T1 Inbound,RFP,Priority 1,Case Management - Call Wrap-up,Case Management,Increased Agent Productivity,Implement Auto-Save Functionality for Call Notes,3,3,Sprint 1,PR09918-143,PR09918-72,,,,,,,,,Req_040,Req_040,3,Case Management
"Req_032
Req_033
",Req_033_001,T1 Inbound,RFP,Priority 1,Case Management - Call Wrap-up,Case Management,Increased Agent Productivity,Case Management - Call Wrap-up,3,3,Sprint 1,PR09918-63,PR09918-161,,,,,,,,,Req_033,Req_033,3,Case Management
Req_088,Req_088_001,T1 Inbound,RFP,Priority 1,Case Management - Call Wrap-up,Einstein AI,Case Management - Call Wrap-up,Case notes to be summarized,13,13,,PR09918-122,PR09918-122,,,,,,,,,Req_088,Req_088,13,Einstein AI
"Req_1004
PP_020",Req_1004_001,T1 Inbound,New,N/A,Case Management - Manage Cases,Case Management - Automation,Increased Agent Productivity,Case transferring between agents,0,,,PR09918-70,PR09918-70,,,,,,,,,Req_1004,Req_1004,0,Case Management - Automation
"Req_1006
PP_024",Req_1006_001,T1 Inbound,New,Priority 2,Case Management - Manage Cases,Case Management,Increased Agent Productivity,Distinguish Mediation case when denoted by RT,3,3,,PR09918-68,PR09918-68,,,,,,,,,Req_1006,Req_1006,3,Case Management
"Req_1111
PP_005",Req_1111_006,T1 Inbound,New,Priority 1,Case Management - Manage Contacts,Case Management,Customer contact  360 View,Standardize abbreviations for US and Mexico states,3,3,,PR09918-80,#N/A,,,,,,,,,Req_1111,Req_1111,3,Case Management
"Req_101
PP_003
",Req_101_001,T1 Inbound,RFP,Priority 1,Case Management - Manage Contacts,Case Management,Consistent Customer data, Merge Duplicate Contacts in Salesforce CRRS,5,5,Sprint 1,PR09918-181,#N/A,,,,,,,,,Req_101,Req_101,5,Case Management
"Req_002
PP_023",Req_002_001,T1 Inbound,New,Priority 1,Case Management - Manage Contacts,Case Management - Manage Contacts,Consistent Customer data,Create a New Contact in Salesforce CRRS,5,5,,PR09918-78,PR09918-78,,,,,,,,,Req_002,Req_002,5,Case Management - Manage Contacts
"Req_101
PP_003",Req_101_001,T1 Inbound,RFP,Priority 1,Case Management - Manage Contacts,Case Management,Consistent Customer data,Automatic duplicate contact data detection,5,5,Sprint 1,PR09918-182,#N/A,,,,,,,,,Req_101,Req_101,5,Case Management
"Req_1110
PP_004",Req_1110_001,T1 Inbound,New,N/A,Case Management - Manage Contacts,Data integration,Integration of USPS with custoner address,Realtime USPS address verification for accurate customer address information ,8,8,,PR09918-92,#N/A,,,,,,,,,Req_1110,Req_1110,8,Data integration
"Req_002
",Req_002_001,T1 Inbound,New,Priority 1,Case Management - Manage Contacts,Case Management - Manage Contacts,Consistent Customer data,Create a New Contact in Salesforce CRRS,5,5,,PR09918-78,PR09918-78,,,,,,,,,Req_002,Req_002,5,Case Management - Manage Contacts
"Req_1001
PP_011",Req_1001_001,T1 Inbound,New,Priority 1,Case Management - Manage Contacts,Agent Functions via Email Application,Increased Agent Productivity,In-System Draft Email Review Process,5,5,,PR09918-93,#N/A,,,,,,,,,Req_1001,Req_1001,5,Agent Functions via Email Application
"Req_002
PP_010",Req_002_002,T1 Inbound,New,Priority 1,Case Management - Manage Contacts,Case Management - Manage Contacts,Increased Agent Productivity,Auto-Populate Fields for Common Issue Types like 'Radio Code',8,8,,PR09918-96,PR09918-78,,,,,,,,,Req_002,Req_002,8,Case Management - Manage Contacts
"Req_002
PP_011_A",Req_002_003,T1 Inbound,New,Priority 1,Case Management - Manage Contacts,Case Management - Manage Contacts,Increased Agent Productivity,Enhance Email Professionalism Using SFDC Native AI,5,5,,PR09918-95,PR09918-78,,,,,,,,,Req_002,Req_002,5,Case Management - Manage Contacts
"Req_002
PP_011_B
QE_004",Req_002_004,T1 Inbound,New,Priority 1,Case Management - Manage Contacts,Case Management - Manage Contacts,Increased Agent Productivity,Automated Incrementing of Document/Note Number for Agent Credit,2,2,,PR09918-173,PR09918-78,,,,,,,,,Req_002,Req_002,2,Case Management - Manage Contacts
"Req_103
PP_005_A",Req_103_001,T1 Inbound,New,N/A,Case Management - Manage Contacts,Data Integration,Customer contact 360 View,Customer Lookup,3,3,,PR09918-71,PR09918-71,,,,,,,,,Req_103,Req_103,3,Data Integration
"Req_1003
Req_050(T2 DCR/Live Chat)
PP_022",Req_1003_001,T1 Inbound,New,N/A,Case Management - Manage Contacts,Case Management - Automation,Increased Agent Productivity,Populate  Contact information on Case ,2,2,,PR09918-98,#N/A,,,,,,,,,Req_1003,Req_1003,2,Case Management - Automation
Req_002,Req_002_005,T1 Inbound,New,Priority 1,Case Management - Manage Contacts,Case Management - Manage Contacts,Contact Management,Create a customer record in CRRS,2,2,,PR09918-67,PR09918-78,,,,,,,,,Req_002,Req_002,2,Case Management - Manage Contacts
Req_002,Req_002_006,T1 Inbound,New,Priority 1,Case Management - Manage Contacts,Case Management - Manage Contacts,Contact Management,Search customer record in CRRS,2,2,,PR09918-66,PR09918-78,,,,,,,,,Req_002,Req_002,2,Case Management - Manage Contacts
"Req_077
Req_001
PP_001_A",Req_001_003,T1 Inbound,RFP,Priority 1,Case Management - Manage Contacts,Case Management,Customer contact  360 view,Unified Customer interaction : View  customer case history,8,8,Sprint 1,PR09918-74,PR09918-55,,,,,,,,,Req_001,Req_001,8,Case Management
Req_087,Req_087_001,T1 Inbound,RFP,Priority 3,Case Management - Manage Contacts,Case Management,Case Management - Manage Contacts,Schedule appointment with Dealer,21,21,,PR09918-179,PR09918-179,,,,,,,,,Req_087,Req_087,21,Case Management
Req_102,Req_102_001,T1 Inbound,RFP,Priority 1,Case Management - Manage Contacts,Case Management,Household Functionality- Manage Contacts ,Unified Customer profile view: View customer case history,5,5,,PR09918-57,PR09918-77,,,,,,,,,Req_102,Req_102,5,Case Management
Req_001,Req_001_001,T1 Inbound,RFP,Priority 1,Case Management - Manage Contacts,Case Management,Customer contact  360 View,Unified Customer profile view: View  customer case history,3,3,Sprint 1,PR09918-55,PR09918-55,,,,,,,,,Req_001,Req_001,3,Case Management
"Req_001
PP_001_A
Req_077",Req_001_002,T1 Inbound,RFP,Priority 1,Case Management - Manage Contacts,Case Management,Customer contact  360 View,Unified Customer profile view : View a timeline of all customer past interactions,13,13,Sprint 1,PR09918-56,PR09918-55,,,,,,,,,Req_001,Req_001,13,Case Management
Req_001,Req_001_003,T1 Inbound,RFP,Priority 1,Case Management - Manage Contacts,Case Management,Customer contact  360 View,Unified Customer profile view : View customer product details,8,8,,PR09918-74,PR09918-55,,,,,,,,,Req_001,Req_001,8,Case Management
"Req_001
PP_023
Req_003",Req_001_004,T1 Inbound,RFP,Priority 1,Case Management - Manage Contacts,Case Management,Customer contact  360 View,Unified Customer profile view : View customer personal details,2,2,Sprint 1,PR09918-75,PR09918-55,,,,,,,,,Req_001,Req_001,2,Case Management
Req_001,Req_001_005,T1 Inbound,RFP,Priority 1,Case Management - Manage Contacts,Case Management,Case list view,Search and Filter the case data,5,5,Sprint 1,PR09918-76,PR09918-55,,,,,,,,,Req_001,Req_001,5,Case Management
"Req_001
PP_024_A
",Req_001_007,T1 Inbound,RFP,Priority 1,Case Management - Manage Contacts,Case Management,Survey Responses,Sentiment analysis for survey responses,13,13,,PR09918-164,PR09918-55,,,,,,,,,Req_001,Req_001,13,Case Management
Req_001,Req_001_008,T1 Inbound,RFP,Priority 1,Case Management - Manage Contacts,Case Management,Consistent Customer data,Update an Existing Contact in Salesforce CRRS,3,3,Sprint 1,PR09918-81,PR09918-55,,,,,,,,,Req_001,Req_001,3,Case Management
Req_001,Req_001_010,T1 Inbound,RFP,Priority 1,Case Management - Manage Contacts,Case Management,Increased Agent Productivity,Implement Survey Functionality in CRRS for Enhanced Customer Feedback Collection,8,8,,#N/A,PR09918-55,,,,,,,,,Req_001,Req_001,8,Case Management
"Req_001
PP_001_B",Req_001_011,T1 Inbound,RFP,Priority 1,Case Management - Manage Contacts,Case Management,Customer contact  360 View,Unified Customer profile view : Optimize Case flows and Subflows to Reduce Average Handling Time (AHT),21,21,,PR09918-82,PR09918-55,,,,,,,,,Req_001,Req_001,21,Case Management
"Req_043
OBS_006
PP_021
OBS_012
PP_017",Req_043_001,T1 Inbound,RFP,Priority 1,Case Management - Process,Case Management,Increased Agent Productivity,Enable reopening a cases for various reasons to address follow-up issues,5,5,Sprint 1,PR09918-83,#N/A,,,,,,,,,Req_043,Req_043,5,Case Management
"Req_080
PP_018
PP_002
",Req_080_001,T1 Inbound,RFP,Priority 1,Case Management - Process,Case Management,Customer contact 360 View,Process Flow for call handling,5,5,Sprint 1,PR09918-178,#N/A,,,,,,,,,Req_080,Req_080,5,Case Management
Req_090,Req_090_001,T1 Inbound,RFP,Priority 1,Case Management - Process,Agent Functions via Email Application,Case Management - Process,Ability to communicate across Honda departments,3,3,,PR09918-180,PR09918-180,,,,,,,,,Req_090,Req_090,3,Agent Functions via Email Application
Req_003,Req_003_001,T1 Inbound,RFP,Priority 1,Case Management - Search,Search Functionality,Consistent Customer data,Search a customer record,0,,Sprint 1,PR09918-89,PR09918-89,,,,,,,,,Req_003,Req_003,0,Search Functionality
Req_078,Req_078_001,T1 Inbound,RFP,Priority 2,Customer Self-service ,Customer Self-service,Customer Self-service,Relevant articles to be shown ,0,,,PR09918-106,PR09918-106,,,,,,,,,Req_078,Req_078,0,Customer Self-service
Req_079,Req_079_001,T1 Inbound,RFP,Priority 1,Customer Self-service ,Customer Self-service,Customer Self-service,Case notification to be received upon change in case status,0,,,PR09918-107,PR09918-107,,,,,,,,,Req_079,Req_079,0,Customer Self-service
"Req_083
Req_084","Req_083_001
Req_084_001",T1 Inbound,RFP,Priority 1,Customer Self-service ,Customer Self-service,Customer Self-service,Relevant information to be shown for On demand Technical Assistance and Marketing,0,,,PR09918-109,PR09918-109,,,,,,,,,Req_083,Req_083,0,Customer Self-service
Req_085,Req_085_001,T1 Inbound,RFP,Priority 2,Customer Self-service ,Customer Self-service ,Customer Notification,Notification to customer about latest repairs and parts status,5,5,,PR09918-110,PR09918-110,,,,,,,,,Req_085,Req_085,5,Customer Self-service 
Req_086,Req_086_001,T1 Inbound,RFP,Priority 1,Customer Self-service ,Customer Self-service ,Customer Self-service,Nearest dealership to be shown as per location of the car,0,,Sprint 1,PR09918-111,PR09918-111,,,,,,,,,Req_086,Req_086,0,Customer Self-service 
Req_098,Req_098_001,T1 Inbound,RFP,Priority 2,Customer Self-service ,Customer Self-service ,Customer Self-service ,Case status to be visible to customer,0,,,PR09918-113,PR09918-113,,,,,,,,,Req_098,Req_098,0,Customer Self-service 
Req_145,Req_145_001,T1 Inbound,RFP,Priority 1,Data Integration,Data Integration,Data Integration,Quick links to access Campaigns,0,,,PR09918-120,PR09918-120,,,,,,,,,Req_145,Req_145,0,Data Integration
"Req_1002
Req_137 (Knowledge)
PP_006",Req_1002_001,"T1 Inbound /
Knowledge",New,N/A,Knowledge Management,Search Functionality,Increased Agent Productivity,Knowledge Articles Search,8,8,,PR09918-183,#N/A,,,,,,,,,Req_1002,Req_1002,8,Search Functionality
Req_094,Req_094_001,T1 Inbound,RFP,Priority 1,Knowledge Management,Training,Knowledge Management,Modular based training to be available ,0,,,PR09918-185,PR09918-185,,,,,,,,,Req_094,Req_094,0,Training
"Req_1007
PP_001",Req_1007_001,T1 Inbound,New,Priority 1,Service Cloud Console / Page Layouts,Case Management,Case management,Automate Issue Coding to Reduce Generic Case Reasons,13,13,,PR09918-79,#N/A,,,,,,,,,Req_1007,Req_1007,13,Case Management
"Req_025
PP_014",Req_025_001,T1 Inbound,RFP,Priority 1,Service Cloud Console / Page Layouts,Data integration,Increased Agent Productivity,Ensuring Accurate Product Information Integration from Mainframe to Salesforce,21,21,,PR09918-117,PR09918-177,,,,,,,,,Req_025,Req_025,21,Data integration
"Req_1005
PP_019",Req_1005_001,T1 Inbound,New,Priority 1,Service Cloud Console / Page Layouts,Case Management,Increased Agent Productivity,Subdivision field should be automatically updated when ownership is transferred to other department,8,8,,PR09918-167,#N/A,,,,,,,,,Req_1005,Req_1005,8,Case Management
Req_045,Req_045_001,T1 Inbound,RFP,Priority 1,Service Cloud Console / Page Layouts,Case Management,Increased Agent Productivity,Add Disposition Code for Cases,2,2,,PR09918-69,PR09918-69,,,,,,,,,Req_045,Req_045,2,Case Management
Req_012,Req_012_001,T1 Inbound,RFP,Priority 1,Service Cloud Console / Page Layouts,Quick case,Case management,Add a coding for quick case,3,3,Sprint 1,PR09918-175,PR09918-175,,,,,,,,,Req_012,Req_012,3,Quick case
"Req_024
PP_013",Req_024_001,T1 Inbound,RFP,Priority 2,Service Cloud Console / Page Layouts,Data Integration,Increased Agent Productivity,Display of Active open recalls for customer,2,2,,PR09918-119,#N/A,,,,,,,,,Req_024,Req_024,2,Data Integration
Req_025,Req_025_002,T1 Inbound,RFP,Priority 1,Service Cloud Console / Page Layouts,Data integration,Vehicle 360 view,Unified Vehicle view : View the vehicle details,5,5,,PR09918-177,PR09918-177,,,,,,,,,Req_025,Req_025,5,Data integration
Req_034,Req_034_001,T1 Inbound,RFP,Priority 1,Service Cloud Console / Page Layouts,Case Management,Increased Agent Productivity,Case Management - Case details,2,2,Sprint 2,PR09918-62,PR09918-62,,,,,,,,,Req_034,Req_034,2,Case Management
Req_082,Req_082_001,T1 Inbound,RFP,Priority 1,Service Cloud Console / Page Layouts,Customer Self-service,Customer Self-service,Auto-login for the customer,0,,,PR09918-108,PR09918-108,,,,,,,,,Req_082,Req_082,0,Customer Self-service
Req_097,Req_097_001,T1 Inbound,RFP,Priority 1,Service Cloud Console / Page Layouts,Search Functionality,Service Cloud Console / Page Layouts,Unified Customer profile view : View customer personal details,0,,Sprint 1,PR09918-75,PR09918-186,,,,,,,,,Req_097,Req_097,0,Search Functionality
"Req_1014
PP_028",Req_1014_001,T1 Inbound Mexico,New,Priority 2,Data Integration,Data Integration,Recall Campaign Process,Streamline Recall Campaign Processes Through Real-time Integration with eVRM and Other Applications,13,13,,PR09918-134,#N/A,,,,,,,,,Req_1014,Req_1014,13,Data Integration
"Req_1015
PP_029
PP_030",Req_1015_001,T1 Inbound Mexico,New,Priority 4,Data Integration,Data Integration,Cisco IVR Integration,Automate Report Generation by Integrating Cisco IVR Data directly into CRRS,13,13,,PR09918-188,#N/A,,,,,,,,,Req_1015,Req_1015,13,Data Integration
"Req_1011
PP_025",Req_1011_001,T1 Inbound Mexico,New,Priority 1,Data Integration,Data integration,Increased Agent Productivity,Integrate eVRM campaign information with CRRS,8,8,,PR09918-132,#N/A,,,,,,,,,Req_1011,Req_1011,8,Data integration
"Req_032
PP_034",Req_032_001,T1 Inbound Mexico,RFP,Priority 1,Case Management - Call Wrap-up,Case Management,Standard Templates for Call notes,Streamline Call Note  with Standardized Templates,5,5,,PR09918-94,PR09918-63,,,,,,,,,Req_032,Req_032,5,Case Management
"Req_1018
PP_035",Req_1018_001,T1 Inbound Mexico,New,Priority 1,Case Management - Automation,Case Management,Increased Agent Productivity,Enhance Techline Case Management with CPA (Claim Prior Authorization) Number and Reason Code Integration,3,3,,PR09918-127,PR09918-127,,,,,,,,,Req_1018,Req_1018,3,Case Management
"Req_1020
PP_038",Req_1020_001,T1 Inbound Mexico,New,Priority 1,Case Management - Automation,Data integration,Increased Agent Productivity,Streamline Dealer Support by Integrating SIS Labor Operation Codes into Techline Processes,21,21,,PR09918-135,#N/A,,,,,,,,,Req_1020,Req_1020,21,Data integration
"Req_1019
PP_036",Req_1019_001,T1 Inbound Mexico,New,Priority 1,Case Management - Automation,Case Management,Increased Agent Productivity,Enabling Cross-referencing of CPA number to the Cases.,5,5,,PR09918-128,PR09918-128,,,,,,,,,Req_1019,Req_1019,5,Case Management
"Req_1172
PP_024_B",Req_1172_001,T1 Inbound Mexico,New,Priority 1,Case Management - Automation,Case Management - Automation,Increased Agent Productivity,Enforce Issue Creation with Specific Coding Before Case Closure in Mexico,8,8,,PR09918-130,PR09918-130,,,,,,,,,Req_1172,Req_1172,8,Case Management - Automation
"Req_020
PP_039",Req_020_001,T1 Inbound Mexico,RFP,Priority 1,Service Cloud Console / Page Layouts,Data integration,Increased Agent Productivity,Enhance the vehicle model data,0,,,PR09918-131,PR09918-59,,,,,,,,,Req_020,Req_020,0,Data integration
"Req_026
PP_040",Req_026_001,T1 Inbound Mexico,RFP,Priority 1,Service Cloud Console / Page Layouts,Case Management,Increased Agent Productivity,Enhance the data in CRRS for exporting,3,3,,PR09918-88,PR09918-88,,,,,,,,,Req_026,Req_026,3,Case Management
"Req_020
PP_031",Req_020_001,T1 Inbound Mexico,RFP,Priority 1,Service Cloud Console / Page Layouts,Data integration,Increased Agent Productivity,Update the picklist of make/model. ,0,,,PR09918-59,PR09918-59,,,,,,,,,Req_020,Req_020,0,Data integration
"Req_1021
PP_037",Req_1021_001,T1 Inbound Mexico,New,Priority 2,Case Management - Process,Case Management,Increased Agent Productivity,Enable Agents to capture the root cause for given case,5,5,,PR09918-129,PR09918-129,,,,,,,,,Req_1021,Req_1021,5,Case Management
"Req_1016
PP_032",Req_1016_001,T1 Inbound Mexico,New,Priority 1,Call and Channel Support,Case Management,Increased Agent Productivity,Enhance the repair data,2,2,,PR09918-126,PR09918-126,,,,,,,,,Req_1016,Req_1016,2,Case Management
"Req_1013
PP_027",Req_1013_001,T1 Inbound Mexico,New,Priority 2,Case Management - Search,Data Integration,Increased Agent Productivity,Recall information access to Dealers,5,5,,PR09918-133,#N/A,,,,,,,,,Req_1013,Req_1013,5,Data Integration
"Req_1017
PP_033",Req_1017_001,T1 Inbound Mexico,New,Priority 1,Administration,Language Translation,Increased Agent Productivity,Enable system-driven English-Spanish Translation and Language preference selection,5,5,,PR09918-137,#N/A,,,,,,,,,Req_1017,Req_1017,5,Language Translation
"Req_1012
PP_026",Req_1012_001,T1 Inbound Mexico,New,Priority 2,Case Management - Manage Cases,Case Management,Increased Agent Productivity,Enable Case history and access to US recall issues for a given VIN to Mexico team,2,2,,PR09918-125,PR09918-125,,,,,,,,,Req_1012,Req_1012,2,Case Management
"Req_029
PP_118",Req_029_001,T1/T2 Routing,RFP,Priority 1,Automatic Case Routing and Tracking,Case Management - Automation,,Escalating case to other queues,13,13,,PR09918-165,#N/A,,,,,,,,,Req_029,Req_029,13,Case Management - Automation
Req_071,Req_071_001,T1/T2 Routing,RFP,Priority 1,Automatic Case Routing and Tracking,Case Management ,,Automate the case assignment for the queues,3,3,,PR09918-165,PR09918-165,,,,,,,,,Req_071,Req_071,3,Case Management 
