ID,US ID,Process Flow,RFP/NEW,Priority,Epic ,New Epic,Feature,Story,Efforts ,Efforts in person-days - Final,Sprint #,JIRA ID,,,,,,,,,,Don't Delete,Don't Delete,Efforts ,New Epics
"Req_1113
PP_117",Req_1113_001,T1/T2 Routing,RFP,Priority 1,Case Management,Case Management - Automation ,,Automate the case assignment for the queues,5,5,,#N/A,#N/A,,,,,,,,,Req_1113,Req_1113,5,Case Management - Automation 
"Req_1118
PP_120",Req_1118_001,T1/T2 Routing,New,Priority 2,Case Management,Case Management - Automation,,Re-open case when email to case is received,8,8,,PR09918-170,#N/A,,,,,,,,,Req_1118,Req_1118,8,Case Management - Automation
"Req_1089
PP_121",Req_1089_001,T1/T2 Routing,New,Priority 1,Case Management,Case Management - Automation,,Automate Case assignment using queues,5,5,,PR09918-171,#N/A,,,,,,,,,Req_1089,Req_1089,5,Case Management - Automation
"Req_1116
PP_123",Req_1116_001,T1/T2 Routing,New,Priority 2,Case Management,Case Management - Automation,,Auto assignment of Re-opened case to the case manager,8,8,,PR09918-172,#N/A,,,,,,,,,Req_1116,Req_1116,8,Case Management - Automation
"Req_1005
PP_019
Req_1117
PP_124","Req_1005_001
Req_1117_001",T1/T2 Routing,New,Priority 1,Case Management,Case Management,,Subdivision field should be automatically updated when ownership is transferred to other department,13,13,,PR09918-167,#N/A,,,,,,,,,Req_1005,Req_1005,13,Case Management
"Req_1114
PP_119",Req_1114_001,T1/T2 Routing,RFP,Priority 1,Product Support,Case Management,,Add/update the projects/workflows for Business team,5,5,,PR09918-166,#N/A,,,,,,,,,Req_1114,Req_1114,5,Case Management
"Req_1115
PP_122",Req_1115_001,T1/T2 Routing,New,Priority 1,Case Management- Search,Duplicate Management,,Merge Duplicate cases once case received through email,13,13,,PR09918-187,#N/A,,,,,,,,,Req_1115,Req_1115,13,Duplicate Management
"Req_031
PP_041",Req_031_001,T1 Inbound Powersports,RFP,Priority 1,Case Management,Search Functionality,,Creation of validation feature to display corresponding VIN information with minimum time response for search,13,13,,PR09918-159,#N/A,,,,,,,,,Req_031,Req_031,13,Search Functionality
"Req_042
",Req_042_001,T1 Inbound Powersports,RFP,Priority 1,Case Management,Case Management,,Ability of cloning existing Case record,2,2,,PR09918-141,PR09918-141,,,,,,,,,Req_042,Req_042,2,Case Management
"Req_1112
PP_042
PP_057",Req_1112_001,T1 Inbound Powersports,RFP,Priority 1,Case Management - Automation,Case Management,,Implementing 'My Cases' List View for Enhanced Case Ownership Tracking,3,3,,PR09918-138,#N/A,,,,,,,,,Req_1112,Req_1112,3,Case Management
Req_052,Req_052_001,T1 Inbound Powersports,RFP,Priority 1,Case Management - Automation,Data Integration,,Automating Warranty Information Retrieval and Enhancing Notification Systems for Powersports Agent,5,5,,PR09918-150,PR09918-150,,,,,,,,,Req_052,Req_052,5,Data Integration
Req_052,Req_052_002,T1 Inbound Powersports,RFP,Priority 1,Case Management - Automation,Data Integration,,Notification for pending mediation and Techline issues,5,5,,PR09918-146,PR09918-150,,,,,,,,,Req_052,Req_052,5,Data Integration
"Req_1024
PP_053
PP_054",Req_1024_001,T1 Inbound Powersports,New,Priority 1,Case Management - Automation,Data Integration,,Enhancing Dealer Lookup Functionality within CRRS for Efficient Customer Support,13,13,,PR09918-151,PR09918-151,,,,,,,,,Req_1024,Req_1024,13,Data Integration
"Req_1031
Req_033(T1 Inbound)",Req_1031_001,T1 Inbound Powersports,New,Priority 1,Case Management - Automation,Agent Console Call Flow,,Creation of Call Flow Templates for Specific Power Sports Case Types,8,8,,PR09918-161,#N/A,,,,,,,,,Req_1031,Req_1031,8,Agent Console Call Flow
"Req_1022
PP_052
",Req_1022_001,T1 Inbound Powersports,New,Priority 1,Case Management - Automation,Case Management - Automation,,"Alerts for the all currently open and previously closed cases (mediation, Techline issues.  ",5,5,,PR09918-147,PR09918-147,,,,,,,,,Req_1022,Req_1022,5,Case Management - Automation
"Req_1030
PP_060
Req_033(T1 Inbound. ",Req_1030_001,T1 Inbound Powersports,RFP,N/A,Case Management - Automation,Agent Console Call Flow,,Call flow template required for case types,5,5,,PR09918-163,#N/A,,,,,,,,,Req_1030,Req_1030,5,Agent Console Call Flow
"Req_040
PP_016
PP_044(Powersports. ",Req_040_003,T1 Inbound Powersports,RFP,Priority 1,Case Management - Call Wrap-up,Case Management,,Implement Auto-Save Functionality for Call Notes,0,,,PR09918-143,PR09918-72,,,,,,,,,Req_040,Req_040,0,Case Management
"Req_1026
PP_043",Req_1026_001,T1 Inbound Powersports,Out of scope,Priority 1,Case Management - Process,Data Integration,,Product Registration status from Dealer,21,21,,PR09918-152,#N/A,,,,,,,,,Req_1026,Req_1026,21,Data Integration
"Req_004
PP_041
Req_031",Req_004_001,T1 Inbound Powersports,RFP,Priority 1,Case Management - Search,Search Functionality,,Improve Serial Number Search Functionality for Power Sports and Equipment in CRRS,3,3,,PR09918-160,PR09918-148,,,,,,,,,Req_004,Req_004,3,Search Functionality
"PP_043
Req_004",Req_004_002,T1 Inbound Powersports,RFP,Priority 1,Case Management - Search,Search Functionality,,Enhance Product Registration Turnaround Time via System Integration,0,,,PR09918-148,PR09918-148,,,,,,,,,Req_004,Req_004,0,Search Functionality
Req_004,Req_004_003,T1 Inbound Powersports,RFP,Priority 1,Case Management - Search,Search Functionality,,Implement GenAI Solution for Efficient Management of Multiple Product Manuals in CRRS,8,8,,PR09918-156,PR09918-148,,,,,,,,,Req_004,Req_004,8,Search Functionality
"Req_004
PP_057",Req_004_004,T1 Inbound Powersports,RFP,Priority 1,Case Management - Search,Search Functionality,,Ensuring Accurate Survey Email Templates on Case Ownership Transfer,5,5,,PR09918-140,PR09918-148,,,,,,,,,Req_004,Req_004,5,Search Functionality
"Req_1027
PP_046
Req_081(T1 Inbound. ",Req_1027_001,T1 Inbound Powersports,New,Priority 1,Customer Self-service,Search Functionality,,Serial number lookup functionality for cases,5,5,,PR09918-155,#N/A,,,,,,,,,Req_1027,Req_1027,5,Search Functionality
"Req_1032
Req_023(T1 Inbound. 
Req_022(T1 Inbound. 
PP_048",Req_1032_001,T1 Inbound Powersports,New,Priority 1,Data Integration,Data Integration,,Enhanced Display and Access to Campaign and Warranty Information,5,5,,PR09918-149,#N/A,,,,,,,,,Req_1032,Req_1032,5,Data Integration
"PP_045
PP_049
Req_147(Reporting. ",Req_147_001,T1 Inbound Powersports,RFP,Priority 3,Data Integration,Data Integration,,Service bulletin links to be accurate while working,8,8,,#N/A,#N/A,,,,,,,,,Req_147,Req_147,8,Data Integration
Req_248,Req_248_001,Reports & Dashboards,RFP,Priority 1,Reports & Dashboards,Reports & Dashboards,,Ability of reporting on Agent productivity as a Supervisor,0,,,#N/A,#N/A,,,,,,,,,Req_248,Req_248,0,Reports & Dashboards
Req_249,Req_249_001,T1 Inbound Powersports,RFP,Priority 1,Reports & Dashboards,Reports & Dashboards,,Ability of reporting on Outbound and Inbound calls for Power Sports as a Supervisor,5,5,,PR09918-154,PR09918-154,,,,,,,,,Req_249,Req_249,5,Reports & Dashboards
Req_005,Req_005_001,T1 Inbound Powersports,RFP,Priority 1,Service Cloud Console / Page Layouts,Case management,,Enhanced Vehicle/Product Coding for Power Sports and Equipment,5,5,,PR09918-139,PR09918-139,,,,,,,,,Req_005,Req_005,5,Case management
"Req_1033
PP_055",Req_1033_001,T1 Inbound Powersports,RFP,Priority 1,Service Cloud Console / Page Layouts,Search Functionality,,Enhancing Efficiency in Manual Lookup and Serial Number Validation for PSP/PE Products,0,,,PR09918-157,#N/A,,,,,,,,,Req_1033,Req_1033,0,Search Functionality
Req_041,Req_041_001,T1 Inbound Powersports,RFP,Priority 1,Service Cloud Console / Page Layouts,Search Functionality,,Ensuring Accurate and Consistent Bulletin Links and Naming Conventions,0,,,PR09918-158,PR09918-158,,,,,,,,,Req_041,Req_041,0,Search Functionality
Req_046,Req_046_001,T1 Inbound Powersports,RFP,Priority 1,Service Cloud Console / Page Layouts,Case Management,,Ability of Contact Center Agents to add Disposition Coding to Powersports/Power Tools case,2,2,,PR09918-142,PR09918-142,,,,,,,,,Req_046,Req_046,2,Case Management
"Req_1028
PP_047
Req_005(T1 Inbound. ",Req_1028_001,T1 Inbound Powersports,New,Priority 1,Service Cloud Console / Page Layouts,Data Integration,,Selling year of the product to be shown ,3,3,,PR09918-153,PR09918-153,,,,,,,,,Req_1028,Req_1028,3,Data Integration
"Req_1023
PP_050",Req_1023_001,T1 Inbound Powersports,New,Priority 1,Service Cloud Console / Page Layouts,Case Management,,Granular picklist values for PSP division,5,5,,PR09918-144,PR09918-144,,,,,,,,,Req_1023,Req_1023,5,Case Management
"Req_1029
PP_051
Req_020(Inbound Mexico. ",Req_1029_001,T1 Inbound Powersports,New,Priority 1,Service Cloud Console / Page Layouts,Case Management,,Auto populate new models in the picklist,2,2,,PR09918-145,PR09918-145,,,,,,,,,Req_1029,Req_1029,2,Case Management
"Req_1025
PP_058",Req_1025_001,T1 Inbound Powersports,New,Priority 2,Service Cloud Console / Page Layouts,Agent Console Call Flow,,In-App Guidance/Alert screen flow ,5,5,,PR09918-162,#N/A,,,,,,,,,Req_1025,Req_1025,5,Agent Console Call Flow
"Req_053
EV_001",Req_053_001,T2 ASK Dave,RFP,Priority 1,Case Management,Data integration,,AskDave Integration with CRRS,21,21,,PR09918-282,#N/A,,,,,,,,,Req_053,Req_053,21,Data integration
"Req_053
PP_093_B",Req_053_002,T2 ASK Dave,RFP,Priority 1,Case Management,Data integration,,"Faster loading time in the AskDave system,",5,5,,PR09918-284,#N/A,,,,,,,,,Req_053,Req_053,5,Data integration
"Req_1105
PP_093_A",Req_1105_001,T2 ASK Dave,New,Priority 2,Case Management - Manage Contacts,Data integration,,Integration Continuity for AHM Call Center Request,5,5,,PR09918-283,#N/A,,,,,,,,,Req_1105,Req_1105,5,Data integration
Req_054,Req_054_001,T2 ASK Dave,RFP,Priority 1,Reports & Dashboards,Reports & Dashboards,,Better data and reporting,3,3,,PR09918-285,PR09918-285,,,,,,,,,Req_054,Req_054,3,Reports & Dashboards
"Req_144
Req_143",Req_144_001,T2 DCR-Live Chat,RFP,Priority 1,Automatic Case Routing and Tracking,Case Management - Automation,,Live chat to be associated to Case,5,5,,PR09918-204,#N/A,,,,,,,,,Req_144,Req_144,5,Case Management - Automation
"Req_1125
PP_066",Req_1125_001,T2 DCR-Live Chat,New,Priority 3,Call and Channel Support,Case Management,,Auto-saves the chat transcript in pdf format ,5,5,,#N/A,#N/A,,,,,,,,,Req_1125,Req_1125,5,Case Management
"Req_1138
PP_074",Req_1138_001,T2 DCR-Live Chat,RFP,Priority 1,Case Management,Agent Console Call Flow,,Templates/screen flows for specific type of issues ,3,3,,PR09918-215,#N/A,,,,,,,,,Req_1138,Req_1138,3,Agent Console Call Flow
"Req_1124
PP_064",Req_1124_001,T2 DCR-Live Chat,New,Priority 2,Case Management - Automation,Case Management,,Auto-save case notes when system has shut down ,8,8,,PR09918-193,#N/A,,,,,,,,,Req_1124,Req_1124,8,Case Management
Req_047,Req_047_001,T2 DCR-Live Chat,RFP,Priority 1,Case Management - Call Wrap-up,Case Management,,Auto save functionality for case notes,13,13,,PR09918-191,PR09918-191,,,,,,,,,Req_047,Req_047,13,Case Management
"Req_1129
PP_069_B",Req_1129_001,T2 DCR-Live Chat,New,Priority 1,Case Management - Manage Cases,Case Management,,Case link to be provided to Customer,3,3,,PR09918-196,#N/A,,,,,,,,,Req_1129,Req_1129,0,Case Management
"Req_1130
PP_069_C
Req_050
Req_141",Req_1130_001,T2 DCR-Live Chat,RFP,Priority 1,Case Management - Manage Contacts,Case Management - Automation,,Customer information pop up for regular customer ,8,8,,PR09918-201,#N/A,,,,,,,,,Req_1130,Req_1130,8,Case Management - Automation
"Req_1133
PP_071",Req_1133_001,T2 DCR-Live Chat,RFP,Priority 1,Case Management - Manage Contacts,Case Management,,Auto attach the contact to Case,8,8,,PR09918-197,#N/A,,,,,,,,,Req_1133,Req_1133,8,Case Management
Req_100,Req_100_01,T2 DCR-Live Chat,RFP,Priority 4,Case Management - Manage Contacts,Case Management,,System Validation for Registered Owner,5,5,,#N/A,#N/A,,,,,,,,,Req_100,Req_100,5,Case Management
"Req_1127
PP_069",Req_1127_001,T2 DCR-Live Chat,RFP,Priority 1,Case Management - Process,Agent Console Call Flow,,Templatized  Call flow with pre-populated fields ,0,0,,PR09918-214,#N/A,,,,,,,,,Req_1127,Req_1127,0,Agent Console Call Flow
Req_051,Req_051_001,T2 DCR-Live Chat,RFP,Priority 1,Case Management - Search,Search Functionality,,Verify / Create Customer information,5,5,,PR09918-205,PR09918-205,,,,,,,,,Req_051,Req_051,5,Search Functionality
"Req_1136
PP_073_A

",Req_1136_001,T2 DCR-Live Chat,New,Priority 2,Customer Self-service ,Customer Self-service,,Initial Screening with Self service tool,5,5,,PR09918-209,#N/A,,,,,,,,,Req_1136,Req_1136,0,Customer Self-service
Req_091,Req_091_001,T2 DCR-Live Chat,RFP,Priority 1,Customer Self-service ,Customer Self-service ,,Self Service options for customers ,5,5,,PR09918-211,PR09918-211,,,,,,,,,Req_091,Req_091,5,Customer Self-service 
"Req_1123
PP_063_B",Req_1123_001,T2 DCR-Live Chat,New,Priority 3,Data Integration,Data Integration,,Quatrics is integrated with CRRS for Survey functionality,13,13,,#N/A,#N/A,,,,,,,,,Req_1123,Req_1123,13,Data Integration
"Req_1134
PP_072
PP_072_A",Req_1134_001,T2 DCR-Live Chat,RFP,Priority 2,Data Integration,Data Integration,,Sprouts Integration with CRRS,13,13,,PR09918-306,#N/A,,,,,,,,,Req_1134,Req_1134,13,Data Integration
"Req_1139
PP_074_A
",Req_1139_001,T2 DCR-Live Chat,New,Priority 3,Data Integration,Data Integration,,Integrate Qualtrics data or implement Survey functionality within CRRS,13,13,,#N/A,#N/A,,,,,,,,,Req_1139,Req_1139,13,Data Integration
"Req_1137
PP_073_B
",Req_1137_001,T2 DCR-Live Chat,New,Priority 2,Knowlege Article,Einstein GenAI,,Einsten - Generate KB articles,3,3,,PR09918-212,#N/A,,,,,,,,,Req_1137,Req_1137,0,Einstein GenAI
"Req_1128
PP_069_A
Req_049",Req_1128_001,T2 DCR-Live Chat,New,Priority 1,Live Agent Chat,Case Management,,Request to Customer for Sending/Receiving pictures  ,5,5,,PR09918-195,#N/A,,,,,,,,,Req_1128,Req_1128,5,Case Management
"Req_1131
PP_069_D
Req_048",Req_1131_001,T2 DCR-Live Chat,RFP,Priority 1,Live Agent Chat,Case Management - Automation,,Migration of chat templates in Lightning to CRRS,5,5,,PR09918-202,#N/A,,,,,,,,,Req_1131,Req_1131,5,Case Management - Automation
"Req_1132
PP_070",Req_1132_001,T2 DCR-Live Chat,RFP,Priority 1,Live Agent Chat,Case Management - Automation,,Pre-populate the information from contacts in case,8,8,,PR09918-203,#N/A,,,,,,,,,Req_1132,Req_1132,8,Case Management - Automation
"Req_1135
PP_073",Req_1135_001,T2 DCR-Live Chat,New,Priority 1,Live Agent Chat,Case Management,,Auto save Chat session,5,5,,PR09918-198,#N/A,,,,,,,,,Req_1135,Req_1135,0,Case Management
Req_142,Req_142_001,T2 DCR-Live Chat,RFP,Priority 2,Live Agent Chat,Customer Self-Service,,Enable Multiple websites to initiate chate,13,13,,PR09918-210,PR09918-210,,,,,,,,,Req_142,Req_142,13,Customer Self-Service
"Req_1126
PP_067
PP_068",Req_1126_001,T2 DCR-Live Chat,New,Priority 1,Product Support,Data Integration,,Display the list of products owned by Owner,1,1,,PR09918-206,#N/A,,,,,,,,,Req_1126,Req_1126,1,Data Integration
Req_263,Req_263_001,T2 DCR-Live Chat,RFP,Priority 1,Reports & Dashboards,Reports & Dashboards,,Report of Chat records,3,3,,PR09918-213,PR09918-213,,,,,,,,,Req_263,Req_263,3,Reports & Dashboards
Req_073,Req_073_001,T2 PCRM Case Management,RFP,Priority 1,Case Management - Process,Case Management,,Quote status approval process,5,5,,PR09918-297,PR09918-297,,,,,,,,,Req_073,Req_073,5,Case Management
Req_075,Req_075_001,T2 PCRM Case Management,RFP,Priority 1,Case Management,Agent Functions via Email Application,,Respond to cases using CRRS email,5,5,,PR09918-299,PR09918-299,,,,,,,,,Req_075,Req_075,5,Agent Functions via Email Application
Req_074,Req_074_001,T2 PCRM Case Management,RFP,Priority 1,Case management,Case Management - Automation,,Automatic notification after tow/rental quote approval,3,3,,PR09918-298,PR09918-298,,,,,,,,,Req_074,Req_074,3,Case Management - Automation
Req_072,Req_072_001,T2 PCRM Case Management,RFP,Priority 1,Case management,Case Management,,Track outbound calls and provide visibility to  Agents,5,5,,PR09918-300,PR09918-300,,,,,,,,,Req_072,Req_072,5,Case Management
Req_172,Req_172_001,T2 Powersports,RFP,Priority 1,Case management,Case management,,Case management of the customer ,2,2,,PR09918-330,PR09918-330,,,,,,,,,Req_172,Req_172,2,Case management
"Req_1147
PP_213",Req_1147_001,T2 Powersports,New,Priority 2,Case management,Data Integration,,Display Training completed by dealer status on case ,21,21,,#N/A,#N/A,,,,,,,,,Req_1147,Req_1147,21,Data Integration
"Req_1148
PP_214",Req_1148_001,T2 Powersports,New,Priority 2,Case management,Data Integration,,Display Dealer premium level (L1 to L5) on case ,5,5,,#N/A,#N/A,,,,,,,,,Req_1148,Req_1148,5,Data Integration
"Req_1153
PP_219",Req_1153_001,T2 Powersports,New,Priority 2,Case management,Case Management,,Notification/Flag for Urgent cases,5,5,,#N/A,#N/A,,,,,,,,,Req_1153,Req_1153,5,Case Management
"Req_1155
PP_221",Req_1155_001,T2 Powersports,New,Priority 2,Case management,Case Management,,Status on case summary page,1,1,,#N/A,#N/A,,,,,,,,,Req_1155,Req_1155,1,Case Management
"Req_1157
PP_223",Req_1157_001,T2 Powersports,New,Priority 2,Automatic Case Routing and Tracking,Case Assignment,,Default queue assignment to Case  ,3,3,,#N/A,#N/A,,,,,,,,,Req_1157,Req_1157,3,Case Assignment
"Req_1158
PP_224",Req_1158_001,T2 Powersports,New,Priority 3,Automatic Case Routing and Tracking,Case Assignment ,,Enable auto-assign  case functionality for supervisors,5,5,,#N/A,#N/A,,,,,,,,,Req_1158,Req_1158,5,Case Assignment 
Req_167,Req_167_001,T2 Powersports,RFP,Priority 1,Case Management,Case management,,Review Cases in the queue,3,3,,PR09918-309,PR09918-309,,,,,,,,,Req_167,Req_167,3,Case management
Req_168,Req_168_001,T2 Powersports,RFP,Priority 1,Case Management,Case assignment,,Case assignment to Case manager,2,2,,PR09918-316,PR09918-316,,,,,,,,,Req_168,Req_168,2,Case assignment
Req_169,Req_169_001,T2 Powersports,RFP,Priority 1,Case Management,Case management,,Triaging cases of the customer,2,2,,PR09918-317,PR09918-317,,,,,,,,,Req_169,Req_169,2,Case management
Req_170,Req_170_001,T2 Powersports,RFP,Priority 1,Case Management,Case management,,Case accuracy codes,8,8,,PR09918-322,PR09918-322,,,,,,,,,Req_170,Req_170,8,Case management
Req_171,Req_171_001,T2 Powersports,RFP,Priority 1,Case Management,Case management,,Call disposition and Document the case,2,2,,PR09918-329,PR09918-329,,,,,,,,,Req_171,Req_171,2,Case management
Req_173,Req_173_001,T2 Powersports,RFP,Priority 1,Case Management,Case management,,Update code cases,,,,PR09918-332,PR09918-332,,,,,,,,,Req_173,Req_173,,Case management
Req_176,Req_176_001,T2 Powersports,RFP,Priority 1,Case Management,Case Management,,Display pop-up message while creating case,3,,,PR09918-341,PR09918-341,,,,,,,,,Req_176,Req_176,3,Case Management
Req_177,Req_177_001,T2 Powersports,RFP,Priority 1,Case Management,Case Assignment,,Case assignment to agents ,3,,,PR09918-342,PR09918-342,,,,,,,,,Req_177,Req_177,3,Case Assignment
Req_178,Req_178_001,T2 Powersports,RFP,Priority 1,Case Management,Case Management,,Creation of New Case,3,,,#N/A,#N/A,,,,,,,,,Req_178,Req_178,3,Case Management
"Req_1160
PP_226",Req_1160_001,T2 Powersports,New,Priority 2,Case Management,Agent Functions via Email Application,,Display images on email along with in-line text ,13,,,#N/A,#N/A,,,,,,,,,Req_1160,Req_1160,13,Agent Functions via Email Application
"Req_1154
PP_220",Req_1154_001,T2 Powersports,New,Priority 2,Case Management - Call Wrap-up,Case Management,,Case notes field to be mandate,3,,,#N/A,#N/A,,,,,,,,,Req_1154,Req_1154,3,Case Management
"Req_1156
PP_222",Req_1156_001,T2 Powersports,New,Priority 2,"Case Management - Manage Cases









",Case Management,,Update 'Customer/Dealer temperature',3,,,#N/A,#N/A,,,,,,,,,Req_1156,Req_1156,3,Case Management
"Req_1152
PP_218",Req_1152_001,T2 Powersports,New,Priority 2,Case Management - Process,Case Management,,Allow all  Warranty claims in Chatter feed,8,,,#N/A,#N/A,,,,,,,,,Req_1152,Req_1152,8,Case Management
Req_055,Req_055_001,T2 Powersports,RFP,Priority 1,Case Management - Search,Duplicate Management,,Identify Duplicate cases ,0,,,PR09918-308,#N/A,,,,,,,,,Req_055,Req_055,0,Duplicate Management
"Req_1143
PP_209",Req_1143_001,T2 Powersports,New,Priority 2,Case Management - Search,Case Management,,Marine divisions to be added,3,,,#N/A,#N/A,,,,,,,,,Req_1143,Req_1143,3,Case Management
"Req_1149
PP_215",Req_1149_001,T2 Powersports,New,Priority 2,Customer Self-service ,Data Integration,,Display Product Section of the case,5,,,#N/A,#N/A,,,,,,,,,Req_1149,Req_1149,5,Data Integration
"Req_1140
PP_206",Req_1140_001,T2 Powersports,New,Priority 2,Data Integration,Data Integration,,USPS Integration for address verification,0,duplicate,,#N/A,#N/A,,,,,,,,,Req_1140,Req_1140,0,Data Integration
"Req_1141
PP_207",Req_1141_001,T2 Powersports,New,Priority 2,Data Integration,Data Integration,,Warranty and Campaign data with link for related service bulletins,5,,,#N/A,#N/A,,,,,,,,,Req_1141,Req_1141,5,Data Integration
"Req_1142
PP_208",Req_1142_001,T2 Powersports,New,Priority 2,Data Integration,Data Integration,,Mainframe Integration with CRRS,5,,,#N/A,#N/A,,,,,,,,,Req_1142,Req_1142,5,Data Integration
"Req_1150
PP_216",Req_1150_001,T2 Powersports,Out of scope,N/A,Data Integration,Data Integration,,Integration of Campaign system to CRRS,0,,,#N/A,#N/A,,,,,,,,,Req_1150,Req_1150,0,Data Integration
"Req_1144
PP_210",Req_1144_001,T2 Powersports,RFP,Priority 1,Knowledge Management,Einstein GenAI,,Knowledge articles to be displayed as per Case information,13,,,#N/A,#N/A,,,,,,,,,Req_1144,Req_1144,13,Einstein GenAI
Req_174,Req_174_001,T2 Powersports,RFP,Priority 1,Reports & Dashboards,Reports & Dashboards,,Case search & reporting functionality,3,,,PR09918-335,PR09918-335,,,,,,,,,Req_174,Req_174,3,Reports & Dashboards
Req_175,Req_175_001,T2 Powersports,RFP,Priority 1,Service Cloud Console / Page Layouts,Agent Console Call Flow,,Hyperlink for dealer website,5,,,PR09918-337,PR09918-337,,,,,,,,,Req_175,Req_175,5,Agent Console Call Flow
"Req_1145
PP_211",Req_1145_001,T2 Powersports,New,Priority 2,Service Cloud Console / Page Layouts,Agent Console Call Flow,,Screen flow for case creation,0,duplicate,,#N/A,#N/A,,,,,,,,,Req_1145,Req_1145,0,Agent Console Call Flow
"Req_1146
PP_212",Req_1146_001,T2 Powersports,New,Priority 2,Service Cloud Console / Page Layouts,Case Management,,Issue codes to be Auto-Centric,0,duplicate,,#N/A,#N/A,,,,,,,,,Req_1146,Req_1146,0,Case Management
"Req_1159
PP_225",Req_1159_001,T2 Powersports,New,Priority 2,Service Cloud Console / Page Layouts,Case Management,,Display Cases in reverse chronological order,2,,,#N/A,#N/A,,,,,,,,,Req_1159,Req_1159,2,Case Management
